DTXSID,label,predicted_proba,is_error,uncertainty_std,nn_tanimoto_to_train,ad_novelty
DTXSID3024239,1.0,0.512,False,0.49985597925802827,0.3137254901960784,0.6862745098039216
DTXSID4024270,0.0,0.468,False,0.498974949271003,0.29850746268656714,0.7014925373134329
DTXSID4024276,1.0,0.3376666666666666,True,0.47262047258991036,0.36666666666666664,0.6333333333333333
DTXSID8024286,0.0,0.064,False,0.24475293665245418,0.375,0.625
DTXSID7024299,1.0,0.506,False,0.49996399870390446,0.25862068965517243,0.7413793103448276
DTXSID2024585,0.0,0.312,False,0.46330983153824934,0.56,0.43999999999999995
DTXSID6024591,0.0,0.402,False,0.4903019477831982,0.64,0.36
DTXSID6024597,0.0,0.22,False,0.41424630354416087,0.6785714285714286,0.3214285714285714
DTXSID6024599,0.0,0.29,False,0.4537620521815382,0.5217391304347826,0.4782608695652174
DTXSID8024602,1.0,0.464,True,0.4987023160162766,0.2698412698412698,0.7301587301587302
DTXSID8024608,1.0,0.482,True,0.4996758949559231,0.7142857142857143,0.2857142857142857
DTXSID6024622,0.0,0.436,False,0.4958870839213277,0.37037037037037035,0.6296296296296297
DTXSID7024667,0.0,0.048,False,0.21376622745419777,0.75,0.25
DTXSID8024739,0.0,0.1961,False,0.39553734336975055,0.3170731707317073,0.6829268292682926
DTXSID3024786,0.0,0.226,False,0.4182391660282412,0.4375,0.5625
DTXSID1024887,0.0,0.596,True,0.49069746280167453,0.5555555555555556,0.4444444444444444
DTXSID7024902,0.0,0.05,False,0.2179449471770344,0.2,0.8
DTXSID9024934,1.0,0.572,False,0.49478884385159666,0.5238095238095238,0.47619047619047616
DTXSID4024937,0.0,0.692,True,0.46166654632970866,0.4166666666666667,0.5833333333333333
DTXSID1025017,0.0,0.552,True,0.4972886485734427,0.6363636363636364,0.36363636363636365
DTXSID1025065,1.0,0.218,True,0.41288739384970363,0.3106060606060606,0.6893939393939394
DTXSID8025258,0.0,0.63,True,0.4828043081829319,0.34782608695652173,0.6521739130434783
DTXSID1025306,0.0,0.076,False,0.2649981132008303,0.23529411764705882,0.7647058823529411
DTXSID9025324,0.0,0.044,False,0.20509509989270872,0.34375,0.65625
DTXSID7025429,1.0,0.87,False,0.3363034344160046,0.5652173913043478,0.4347826086956522
DTXSID9025536,0.0,0.296,False,0.45649096376598536,0.45,0.55
DTXSID3025548,1.0,0.678,False,0.46724297747531784,0.5116279069767442,0.4883720930232558
DTXSID3025706,0.0,0.29,False,0.45376205218153837,0.33,0.6699999999999999
DTXSID1025774,0.0,0.402,False,0.4903019477831981,0.47058823529411764,0.5294117647058824
DTXSID1025857,0.0,0.29,False,0.4537620521815385,0.6086956521739131,0.3913043478260869
DTXSID4025903,0.0,0.21,False,0.4073082370883259,0.37037037037037035,0.6296296296296297
DTXSID8025969,0.0,0.002,False,0.04467661580737739,0.5555555555555556,0.4444444444444444
DTXSID7025972,0.0,0.244,False,0.42949272403615774,0.5,0.5
DTXSID8026018,1.0,0.44,True,0.4963869458396345,0.36923076923076925,0.6307692307692307
DTXSID7026029,0.0,0.062,False,0.2411555514600494,0.3939393939393939,0.6060606060606061
DTXSID5026251,0.0,0.648,True,0.4775939698111775,0.5294117647058824,0.47058823529411764
DTXSID4026262,0.0,0.106,False,0.30783761953341415,0.34782608695652173,0.6521739130434783
DTXSID4026501,0.0,0.046,False,0.20948508300115368,0.3333333333333333,0.6666666666666667
DTXSID4026505,0.0,0.684,True,0.46491289506745326,0.5714285714285714,0.4285714285714286
DTXSID8026515,0.0,0.07,False,0.25514701644346044,0.3076923076923077,0.6923076923076923
DTXSID3026516,0.0,0.092,False,0.2890259503920004,0.4782608695652174,0.5217391304347826
